Style,Price,Laura,Carolyn,Greg,Wendy,Tom,Wally,mean,std,std*2
Gail,110,900,1000,900,1300,800,1200,1016.666667,194.0790217,388.1580434
Isis,99,800,700,1000,1600,950,1200,1041.666667,323.1356784,646.2713568
Entice,80,1200,1600,1500,1550,950,1350,1358.333333,247.8238622,495.6477244
Assault,90,2500,1900,2700,2450,2800,2800,2525,340.2205167,680.4410334
Teri,123,800,900,1000,1100,950,1850,1100,380.7886553,761.5773106
Electra,173,2500,1900,1900,2800,1800,2000,2150,403.7325848,807.4651695
Stephanie,133,600,900,1000,1100,950,2125,1112.5,523.8678268,1047.735654
Seduced,73,4600,4300,3900,4000,4300,3000,4016.666667,556.4770136,1112.954027
Anita,93,4400,3300,3500,1500,4200,2875,3295.833333,1046.949935,2093.89987
Daphne,148,1700,3500,2600,2600,2300,1600,2383.333333,696.8978883,1393.795777
